iter	RMSE
0	1.121045952
1	1.080143076
2	1.046282017
3	1.013364145
4	0.9803890881
5	0.9513672061
6	0.9205448418
7	0.8942561009
8	0.8697926561
9	0.8491590856
10	0.8260758046
11	0.8055417732
12	0.7862071326
13	0.7681923369
14	0.7512467956
15	0.7364991805
16	0.7205814183
17	0.7070856588
18	0.6942077635
19	0.6815710812
20	0.6706996381
21	0.6592012222
22	0.6500093462
23	0.6402533044
24	0.6314674001
25	0.6231606705
26	0.6154701085
27	0.6076380496
28	0.6012616467
29	0.5939173629
30	0.5869026225
31	0.5810145564
32	0.5756605793
33	0.5703463179
34	0.5642330799
35	0.5595800718
36	0.5553404142
37	0.5498762663
38	0.5452167691
39	0.5417431038
40	0.5377652356
41	0.5343904814
42	0.5300102614
43	0.527322271
44	0.5242288948
45	0.5208680812
46	0.518216025
47	0.5150390817
48	0.5126978415
49	0.5099582746
50	0.5072169492
51	0.5051080614
52	0.5025065474
53	0.4997078175
54	0.4972557846
55	0.494903185
56	0.4925462209
57	0.4902808755
58	0.4884095656
59	0.4868373101
60	0.4850972095
61	0.4832597937
62	0.4807960645
63	0.4785620869
64	0.4767415362
65	0.475018671
66	0.4732002229
67	0.4715130674
68	0.4700222983
69	0.4685413808
70	0.4672004105
71	0.4658360972
72	0.4646474491
73	0.4632547037
74	0.4622425366
75	0.461124428
76	0.4596941327
77	0.458231416
78	0.4568097931
79	0.4557065935
80	0.4545506397
81	0.4532520412
82	0.451880943
83	0.4501124734
84	0.4490187948
85	0.4476803121
86	0.4462597846
87	0.4448935948
88	0.4435131483
89	0.4426071583
90	0.441455963
91	0.4399768884
92	0.438770833
93	0.4375830599
94	0.4368169308
95	0.4360732498
96	0.4350916611
97	0.4338234862
98	0.4325477112
99	0.4316714889
100	0.430777691
101	0.4295620837
102	0.4285109334
103	0.4272881605
104	0.4261284893
105	0.4248010933
106	0.4238706785
107	0.4230141241
108	0.4219684456
109	0.4211126663
110	0.4200480488
111	0.4192398112
112	0.4183338235
113	0.4175349687
114	0.4165971594
115	0.415554618
116	0.4145525243
117	0.4139828743
118	0.4132890364
119	0.4123215536
120	0.4111953552
121	0.4101188008
122	0.4094800351
123	0.4087102363
124	0.4076934763
125	0.4066366082
126	0.4056804306
127	0.4049571939
128	0.4040647341
129	0.4032618112
130	0.4021580944
131	0.4014944506
132	0.4006961977
133	0.3995381705
134	0.3987987972
135	0.3983560338
136	0.3977438123
137	0.3972913567
138	0.3967304717
139	0.3953180168
140	0.3948581952
141	0.3940817663
142	0.3930594552
143	0.3919468586
144	0.3909947933
145	0.3904813226
146	0.3898449073
147	0.3890168364
148	0.3883824127
149	0.3876969079
150	0.3869020023
151	0.3860719735
152	0.3853567992
153	0.3848374868
154	0.3839058407
155	0.3832107826
