iter	Passed	Remaining
0	70	70885
1	136	68237
2	213	70886
3	289	72087
4	363	72353
5	449	74428
6	522	74184
7	592	73477
8	664	73204
9	735	72774
10	804	72330
11	874	71977
12	946	71826
13	1020	71855
14	1092	71730
15	1161	71414
16	1227	71004
17	1303	71103
18	1372	70878
19	1443	70718
20	1513	70562
21	1582	70356
22	1653	70233
23	1724	70110
24	1794	70001
25	1865	69882
26	1937	69830
27	2009	69752
28	2078	69594
29	2149	69500
30	2220	69410
31	2286	69175
32	2359	69149
33	2421	68812
34	2504	69056
35	2575	68965
36	2644	68816
37	2709	68604
38	2782	68573
39	2853	68478
40	2923	68381
41	2995	68328
42	3066	68246
43	3138	68184
44	3206	68057
45	3276	67961
46	3345	67828
47	3413	67692
48	3484	67618
49	3555	67549
50	3626	67490
51	3697	67416
52	3769	67358
53	3841	67292
54	3913	67235
55	3980	67093
56	4056	67112
57	4126	67018
58	4197	66952
59	4266	66840
60	4335	66733
61	4402	66610
62	4471	66503
63	4541	66421
64	4612	66354
65	4682	66262
66	4752	66184
67	4822	66098
68	4892	66014
69	4963	65938
70	5032	65851
71	5101	65750
72	5171	65677
73	5245	65634
74	5314	65547
75	5386	65488
76	5457	65422
77	5527	65340
78	5599	65277
79	5669	65197
80	5735	65076
81	5803	64969
82	5879	64959
83	5949	64877
84	6020	64810
85	6090	64725
86	6161	64659
87	6233	64604
88	6305	64538
89	6374	64456
90	6448	64413
91	6520	64354
92	6583	64211
93	6662	64219
94	6730	64116
95	6797	64014
96	6867	63935
97	6938	63866
98	7010	63807
99	7081	63731
100	7149	63641
101	7221	63576
102	7292	63509
103	7361	63422
104	7432	63353
105	7504	63292
106	7574	63215
107	7644	63137
108	7716	63075
109	7789	63027
110	7860	62953
111	7928	62863
112	7997	62777
113	8071	62732
114	8141	62654
115	8211	62576
116	8281	62497
117	8351	62422
118	8422	62357
119	8492	62275
120	8561	62194
121	8631	62116
122	8701	62044
123	8799	62164
124	8869	62086
125	8937	61991
126	9009	61928
127	9082	61871
128	9151	61792
129	9222	61717
130	9293	61647
131	9364	61578
132	9431	61481
133	9501	61402
134	9572	61332
135	9642	61260
136	9713	61186
137	9782	61104
138	9853	61032
139	9923	60960
140	9992	60877
141	10061	60797
142	10129	60706
143	10201	60643
144	10273	60576
145	10344	60510
146	10414	60430
147	10484	60357
148	10554	60282
149	10626	60214
150	10694	60132
151	10761	60038
152	10836	59989
153	10907	59922
154	10976	59839
155	11046	59766
156	11112	59668
157	11182	59594
158	11258	59549
159	11329	59479
160	11400	59408
161	11468	59322
162	11534	59230
163	11608	59176
164	11679	59104
165	11751	59042
166	11822	58968
167	11889	58883
168	11961	58814
169	12031	58742
170	12100	58662
171	12168	58577
172	12232	58476
173	12308	58429
174	12377	58350
175	12441	58249
176	12516	58197
177	12589	58137
178	12653	58035
179	12729	57991
180	12800	57918
181	12870	57848
182	12939	57768
183	13009	57694
184	13077	57610
185	13148	57541
186	13217	57463
187	13290	57402
188	13358	57323
189	13431	57258
190	13500	57180
191	13571	57112
192	13642	57041
193	13712	56970
194	13783	56901
195	13851	56819
196	13921	56747
197	13986	56652
198	14061	56597
199	14131	56527
200	14199	56444
201	14269	56371
202	14338	56295
203	14409	56223
204	14479	56152
205	14549	56077
206	14621	56012
207	14691	55941
208	14762	55873
209	14834	55806
210	14905	55735
211	14977	55669
212	15048	55600
213	15115	55517
214	15190	55462
215	15260	55389
216	15329	55314
217	15398	55235
218	15467	55158
219	15537	55087
220	15607	55013
221	15678	54947
222	15749	54874
223	15818	54800
224	15888	54728
225	15958	54655
226	16025	54571
227	16094	54495
228	16164	54421
229	16235	54354
230	16305	54282
231	16375	54209
232	16446	54139
233	16515	54063
234	16585	53990
235	16647	53893
236	16725	53844
237	16795	53773
238	16866	53704
239	16934	53626
240	17004	53553
241	17074	53480
242	17144	53409
243	17213	53332
244	17285	53268
245	17356	53197
246	17427	53130
247	17497	53057
248	17574	53005
249	17646	52940
250	17720	52878
251	17795	52821
252	17868	52756
253	17942	52696
254	18011	52622
255	18083	52554
256	18160	52501
257	18235	52445
258	18311	52388
259	18385	52327
260	18460	52270
261	18529	52193
262	18604	52134
263	18675	52065
264	18756	52021
265	18843	51996
266	18953	52032
267	19035	51992
268	19111	51935
269	19188	51880
270	19261	51815
271	19336	51754
272	19412	51695
273	19490	51641
274	19568	51590
275	19644	51530
276	19723	51480
277	19799	51422
278	19870	51350
279	19950	51302
280	20020	51226
281	20084	51136
282	20175	51117
283	20269	51102
284	20357	51072
285	20431	51007
286	20520	50979
287	20599	50926
288	20678	50872
289	20754	50813
290	20847	50793
291	20931	50750
292	21011	50699
293	21092	50650
294	21182	50622
295	21266	50579
296	21348	50532
297	21430	50483
298	21509	50427
299	21593	50385
300	21671	50326
301	21754	50280
302	21829	50216
303	21905	50151
304	21978	50081
305	22053	50015
306	22125	49944
307	22201	49880
308	22276	49816
309	22352	49751
310	22421	49673
311	22495	49605
312	22571	49540
313	22646	49475
314	22719	49405
315	22790	49331
316	22864	49263
317	22933	49183
318	23013	49129
319	23097	49082
320	23185	49042
321	23268	48993
322	23340	48921
323	23417	48859
324	23494	48796
325	23562	48714
326	23645	48664
327	23721	48600
328	23795	48531
329	23871	48465
330	23946	48398
331	24021	48331
332	24092	48256
333	24164	48184
334	24241	48121
335	24318	48057
336	24390	47985
337	24464	47915
338	24537	47844
339	24611	47774
340	24684	47704
341	24760	47639
342	24836	47572
343	24909	47501
344	24981	47427
345	25055	47358
346	25125	47281
347	25204	47221
348	25283	47161
349	25354	47086
350	25425	47011
351	25494	46933
352	25566	46860
353	25641	46791
354	25724	46738
355	25796	46664
356	25868	46591
357	25940	46518
358	26015	46450
359	26088	46379
360	26158	46302
361	26232	46233
362	26309	46168
363	26388	46107
364	26481	46071
365	26561	46011
366	26639	45947
367	26719	45888
368	26807	45840
369	26910	45819
370	26990	45760
371	27070	45699
372	27152	45641
373	27228	45575
374	27300	45501
375	27365	45415
376	27435	45337
377	27518	45281
378	27596	45216
379	27667	45142
380	27771	45119
381	27847	45052
382	27922	44982
383	27999	44916
384	28081	44857
385	28155	44786
386	28230	44717
387	28305	44646
388	28377	44572
389	28446	44493
390	28528	44433
391	28601	44361
392	28680	44298
393	28755	44228
394	28827	44154
395	28904	44086
396	28975	44011
397	29050	43941
398	29126	43872
399	29202	43803
400	29277	43733
401	29350	43661
402	29434	43604
403	29511	43536
404	29586	43466
405	29660	43395
406	29737	43327
407	29811	43256
408	29886	43184
409	29960	43113
410	30036	43044
411	30111	42974
412	30189	42908
413	30286	42868
414	30376	42820
415	30467	42771
416	30558	42723
417	30644	42667
418	30728	42609
419	30810	42547
420	30887	42479
421	30965	42412
422	31046	42349
423	31122	42278
424	31195	42206
425	31271	42136
426	31346	42064
427	31421	41993
428	31493	41917
429	31565	41842
430	31638	41769
431	31713	41698
432	31793	41633
433	31864	41556
