iter	RMSE
0	3.053127837
1	2.757956021
2	2.692432541
3	2.563945469
4	2.491466859
5	2.440829883
6	2.37973941
7	2.350592362
8	2.305734478
9	2.264969738
10	2.229114413
11	2.187860382
12	2.159649411
13	2.142265643
14	2.108445498
15	2.091301771
16	2.055738558
17	2.027059561
18	1.992697242
19	1.968335989
20	1.94424371
21	1.917436004
22	1.882331522
23	1.866718542
24	1.846404646
25	1.826712352
26	1.81717725
27	1.795277203
28	1.785145201
29	1.766242004
30	1.749344676
31	1.736541121
32	1.723613245
33	1.712869389
34	1.702489904
35	1.691700607
36	1.686867412
37	1.670015162
38	1.654749247
39	1.626485046
40	1.61635793
41	1.610794931
42	1.592657917
43	1.584340743
44	1.572459263
45	1.562701206
46	1.554067709
47	1.544039859
48	1.525328692
49	1.513078557
50	1.505376686
51	1.492229554
52	1.476261528
53	1.464338835
54	1.455348843
55	1.453226084
56	1.444388414
57	1.438064668
58	1.42812606
59	1.419860562
60	1.413680194
61	1.407502402
62	1.401703755
63	1.396747895
64	1.390476963
65	1.38393876
66	1.375955513
67	1.371964927
68	1.364296823
69	1.356908227
70	1.349847552
71	1.34368913
72	1.341555314
73	1.33575539
74	1.334021159
75	1.329090017
76	1.317984806
77	1.309172267
78	1.303806581
79	1.296505537
80	1.29125981
81	1.276160373
82	1.270250094
83	1.266785419
84	1.26120811
85	1.253937587
86	1.233891266
87	1.230781575
88	1.226497686
89	1.223431705
90	1.214103063
91	1.205694136
92	1.192943636
93	1.188987829
94	1.182828539
95	1.177722777
96	1.172729423
97	1.167467969
98	1.158371596
99	1.155329394
100	1.151007438
101	1.146442472
102	1.139180606
103	1.134510648
104	1.128939784
105	1.127391302
106	1.124484609
107	1.115043332
108	1.11295528
109	1.11039132
110	1.101910039
111	1.099260151
112	1.094479878
113	1.091660712
114	1.090752202
115	1.084287043
116	1.078611088
117	1.075142501
118	1.069426648
119	1.063318709
120	1.057068522
121	1.054661109
122	1.052217432
123	1.051540875
124	1.045708148
125	1.038900837
126	1.032233174
127	1.030504732
128	1.026658087
129	1.020313975
130	1.016218875
131	1.012730204
132	1.008329981
133	1.004006157
134	0.9996653724
135	0.9962772408
136	0.9918854278
137	0.9886196632
138	0.9856508881
139	0.9807011148
140	0.9753862966
141	0.9725398292
142	0.9685675816
143	0.9616469759
144	0.9600838934
145	0.9570834687
146	0.9550221532
147	0.9523809826
148	0.948790694
149	0.944811002
150	0.9406564056
151	0.9380983923
152	0.936183023
153	0.9302329567
154	0.9277647228
155	0.9258167096
156	0.9203404262
157	0.9189727258
158	0.9164314608
159	0.9139708871
160	0.9072980834
161	0.9045057383
162	0.9006892343
163	0.8970823038
164	0.893816995
165	0.8898923388
166	0.8883150807
167	0.8852586227
168	0.8826210158
169	0.8797794473
170	0.875915807
171	0.8724971623
172	0.8697748485
173	0.8661008976
174	0.864467624
175	0.8622575513
176	0.8594464226
177	0.8580830842
178	0.8570761295
179	0.8533939614
180	0.8504005649
181	0.8479866474
182	0.8452076311
183	0.8414094413
184	0.8368990773
185	0.8327589067
186	0.8306335309
187	0.8276381286
188	0.8270881206
189	0.8246298933
190	0.8226224666
191	0.8215370809
192	0.8200723686
193	0.8176019719
194	0.8166155222
195	0.815104589
196	0.8123634517
197	0.8103820903
198	0.8082806315
199	0.8055198399
200	0.8020514942
201	0.8003511068
202	0.7987787471
203	0.7978150479
204	0.7963653054
205	0.7941680003
206	0.7933763413
207	0.7871081092
208	0.7853374089
209	0.7825858624
210	0.7791245445
211	0.7777965145
212	0.77573833
213	0.775308341
214	0.7734158014
215	0.771593481
216	0.7699372266
217	0.7688249011
218	0.7665252886
219	0.7640633881
220	0.7612928358
221	0.7593836778
222	0.758056591
223	0.7554277546
224	0.753479008
225	0.7506807331
226	0.7482404756
227	0.7470446922
228	0.7465234931
229	0.7442063736
230	0.7421839737
231	0.7394684912
232	0.7372514156
233	0.7366342146
234	0.735532767
235	0.7335938048
236	0.7297183037
237	0.7267876122
238	0.725154982
239	0.7230421889
240	0.720512305
241	0.719873072
242	0.7180454273
243	0.7159519445
244	0.7139743631
245	0.7118197879
246	0.7094057555
247	0.7071852818
248	0.7053894383
249	0.7043258601
250	0.7033352745
251	0.6992800681
252	0.6969637365
253	0.6960624317
254	0.6940662618
255	0.6924042584
256	0.6916413455
