iter	Passed	Remaining
0	154	599229
1	302	588258
2	457	593105
3	608	591192
4	759	590800
5	908	588161
6	1057	586911
7	1210	587834
8	1366	589586
9	1520	590095
10	1672	589984
11	1831	592283
12	1984	592271
13	2132	590596
14	2288	591415
15	2440	591213
16	2600	592714
17	2749	591776
18	2898	590742
19	3057	591909
20	3212	592093
21	3371	593132
22	3526	593282
23	3683	593614
24	3837	593563
25	3993	593782
26	4149	594022
27	4304	594086
28	4457	593790
29	4615	594109
30	4770	594172
31	4927	594393
32	5079	593939
33	5229	593345
34	5385	593499
35	5539	593395
36	5689	592744
37	5840	592379
38	5992	592008
39	6151	592381
40	6308	592520
41	6460	592193
42	6616	592229
43	6767	591877
44	6925	592041
45	7083	592223
46	7238	592137
47	7396	592333
48	7555	592546
49	7713	592709
50	7864	592323
51	8019	592214
52	8181	592592
53	8341	592880
54	8495	592670
55	8644	592179
56	8804	592392
57	8954	591894
58	9111	591962
59	9263	591646
60	9417	591425
61	9571	591301
62	9728	591256
63	9883	591141
64	10046	591521
65	10199	591278
66	10358	591335
67	10503	590687
68	10660	590673
69	10817	590616
70	10972	590509
71	11124	590238
72	11268	589511
73	11417	589100
74	11569	588830
75	11723	588640
76	11877	588462
77	12039	588706
78	12198	588792
79	12354	588681
80	12506	588423
81	12673	588848
82	12828	588724
83	12982	588540
84	13134	588279
85	13300	588613
86	13456	588543
87	13613	588480
88	13769	588380
89	13929	588431
90	14086	588380
91	14247	588470
92	14414	588835
93	14591	589545
94	14752	589625
95	14909	589559
96	15066	589456
97	15224	589397
98	15379	589238
99	15533	589034
100	15692	589002
101	15845	588784
102	16005	588779
103	16166	588839
104	16324	588752
105	16476	588495
106	16632	588341
107	16796	588495
108	16950	588283
109	17108	588205
110	17265	588130
111	17421	587978
112	17577	587850
113	17731	587639
114	17884	587378
115	18040	587236
116	18199	587199
117	18357	587119
118	18515	587046
119	18671	586912
120	18824	586669
121	18979	586509
122	19135	586340
123	19284	586006
124	19445	586000
125	19603	585936
126	19758	585746
127	19913	585593
128	20070	585479
129	20234	585541
130	20390	585420
131	20545	585227
132	20701	585085
133	20856	584917
134	21020	585002
135	21178	584900
136	21331	584683
137	21480	584343
138	21637	584211
139	21795	584116
140	21949	583923
141	22106	583785
142	22264	583714
143	22429	583785
144	22580	583505
145	22735	583341
146	22890	583154
147	23042	582918
148	23191	582599
149	23348	582463
150	23508	582421
151	23663	582245
152	23819	582102
153	23982	582115
154	24141	582047
155	24295	581852
156	24460	581918
157	24616	581759
158	24767	581490
159	24924	581361
160	25082	581268
161	25234	581007
162	25392	580918
163	25554	580904
164	25716	580884
